episode,total_reward
1,-1090.5846902690828
2,-1515.3412725999951
3,-1505.8235284686089
4,-1505.6561358720064
5,-1506.7251287028193
6,-1506.3691538199782
7,-1505.3771244958043
8,-1505.7645891085267
9,-1505.8129563257098
10,-1503.9152466207743
11,-1504.3157739937305
12,-1505.0515124723315
13,-1506.4021654501557
14,-1505.8050971999764
15,-1504.3460432365537
16,-1505.7794907093048
17,-1506.7715623229742
18,-1506.7864887937903
19,-1506.6341437026858
20,-1495.0093461051583
21,-1504.975743599236
22,-1505.346500389278
23,-1504.3064715862274
24,-1505.009371675551
25,-1496.4932594373822
26,-1505.813828162849
27,-1504.9474628791213
28,-1495.2934977188706
29,-1496.4144208058715
30,-1505.1421184018254
31,-1505.7874748706818
32,-1505.5343941152096
33,-1505.3993994817138
34,-1494.521817713976
35,-1504.3754901364446
36,-1504.0672919303179
37,-1506.0454394817352
38,-1504.7003861442208
39,-1504.9984466955066
40,-1506.1076734885573
41,-1496.2958907708526
42,-1505.2333441749215
43,-1505.7735632508993
44,-1505.8398216366768
45,-1506.3334560766816
46,-590.0737465023994
47,-598.7301298975945
48,-948.9871971309185
49,-890.3836185336113
50,-903.2010128200054
51,-892.8874917924404
52,-918.8058535456657
53,-926.6726696491241
54,-890.2051194906235
55,-888.0253183841705
56,-879.7818860411644
57,-965.7501612305641
58,-947.2514275312424
59,-931.0889947414398
60,-888.5712949037552
61,-891.0783224701881
62,-905.3592574298382
63,-958.7104280889034
64,-933.4898471236229
65,-1003.4506385028362
66,-968.6480340659618
67,-710.8693772554398
68,-871.0441584587097
69,-985.4881941080093
70,-947.224382430315
71,-899.2122675776482
72,-932.5063862800598
73,-735.639523267746
74,-968.39185282588
75,-575.3463796973228
76,-587.337065577507
77,-598.4689318537712
78,-665.5166618525982
79,-600.7328473329544
80,-590.3074384331703
81,-568.7755343317986
82,-575.1973075866699
83,-564.763115555048
84,-581.1412395238876
85,-593.7679337859154
86,-591.400560259819
87,-586.7689366042614
88,-593.3704899251461
89,-602.804312556982
90,-578.5608502626419
91,-578.3082119822502
92,-590.3211752176285
93,-586.1983530819416
94,-587.7852455973625
95,-572.3261686563492
96,-594.5035473704338
97,-576.3811767697334
98,-566.1200225353241
99,-576.815370798111
100,-592.3519677519798
101,-605.2832497060299
102,-568.8701252937317
103,-581.7435559928417
104,-569.5308772325516
105,-569.6642787456512
106,-576.735743612051
107,-573.5461369156837
108,-575.1400802731514
109,-579.3239833712578
110,-579.5962658524513
111,-579.7020045220852
112,-565.0618895888329
113,-587.4812948107719
114,-573.6866010427475
115,-570.6952075660229
116,-581.4184778630733
117,-568.9571486711502
118,-588.327801823616
119,-583.7715983390808
120,-587.7727817296982
121,-568.6101746559143
122,-570.7735507488251
123,-580.1005310416222
124,-582.8593299984932
125,-585.7068442702293
126,-576.643252313137
127,-567.5284012556076
128,-582.5600222945213
129,-599.8032833635807
130,-552.4856724739075
131,-586.2414189577103
132,-570.7473636269569
133,-593.0912822186947
134,-585.8554273247719
135,-565.6211852431297
136,-585.5249842405319
137,-577.3103339672089
138,-560.6574785709381
139,-560.1567286849022
140,-591.4694422781467
141,-575.226487159729
142,-567.4777467250824
143,-568.1892096102238
144,-587.7411112487316
145,-572.7127097845078
146,-584.9404302835464
147,-584.9355628788471
148,-575.1404260396957
149,-595.5389079451561
150,-605.1739115715027
151,-589.4222871661186
152,-577.1120704710484
153,-581.2574524283409
154,-591.0908415019512
155,-588.0286235511303
156,-577.8347415030003
157,-586.6303165853024
158,-550.64362180233
159,-568.0972176790237
160,-597.5647667348385
161,-555.3722687363625
162,-590.6114356219769
163,-589.3198463916779
164,-593.6743805408478
165,-580.3312338292599
166,-594.973140001297
167,-614.203321069479
168,-577.6898744404316
169,-569.4775022268295
170,-573.2916634678841
171,-759.1830531954765
172,-794.8198457956314
173,-823.0473945140839
174,-876.5322008132935
175,-645.341816931963
176,-650.0854800343513
177,-587.8063818216324
178,-566.0478513836861
179,-584.5052535831928
180,-584.1747674942017
181,-574.3488621711731
182,-594.3470221459866
183,-608.0962769985199
184,-595.2716655731201
185,-579.4681766033173
186,-593.7543272972107
187,-598.1811862587929
188,-586.5197747051716
189,-604.5020759999752
190,-606.0207190215588
191,-572.0461511015892
192,-581.399960577488
193,-569.1177116036415
194,-564.8511033654213
195,-581.8494257628918
196,-593.5801606476307
197,-579.6058194041252
198,-559.9392547011375
199,-580.0433854162693
200,-566.9685336947441
201,-579.5533881485462
202,-576.6800498962402
203,-565.685895383358
204,-570.7920517325401
205,-592.3010366559029
206,-586.0776346325874
207,-577.1458602547646
208,-607.6989780664444
209,-579.5401943922043
210,-574.8769822120667
211,-565.9741649031639
212,-579.1680229306221
213,-573.8659270405769
214,-571.4084315896034
215,-583.2582449913025
216,-569.2258166670799
217,-581.3416801095009
218,-566.3477512001991
219,-604.3169145584106
220,-586.3067055344582
221,-581.4126106500626
222,-568.0005746483803
223,-589.1793032884598
224,-587.3350152671337
225,-578.4084834754467
226,-572.4032943248749
227,-578.499218583107
228,-571.3204838037491
229,-565.481577694416
230,-591.345956236124
231,-595.0234949886799
232,-575.6721703410149
233,-565.3119592666626
234,-572.3876491189003
235,-589.8500401973724
236,-538.668202906847
237,-583.2912336587906
238,-610.0853730738163
239,-576.2784467637539
240,-588.4970082342625
241,-584.975649446249
242,-581.3318063616753
243,-567.2172746062279
244,-584.2942923903465
245,-573.4379864633083
246,-562.201340675354
247,-594.0052323639393
248,-587.409073650837
249,-576.3983232975006
250,-583.5968335270882
251,-583.8873145878315
252,-574.7563405930996
253,-581.9243634343147
254,-589.7620089948177
255,-572.1070895791054
256,-585.1372559666634
257,-564.9474902153015
258,-587.4838345944881
