episode,total_reward
1,-2517.3384335041046
2,-2994.0073637887836
3,-2993.649962298572
4,-2934.149333052337
5,-2923.8415334671736
6,-2992.0628401860595
7,-2991.567125417292
8,-2993.1539297252893
9,-2993.2554316595197
10,-2993.8929945901036
11,-2993.3415926620364
12,-2993.0401442050934
13,-2962.9502772316337
14,-2993.7879379689693
15,-2982.910601310432
16,-2993.0244608968496
17,-2992.5936912223697
18,-2994.099960781634
19,-2992.4818682596087
20,-2904.3387574255466
21,-2974.8041679486632
22,-2953.0637198239565
23,-2962.495560131967
24,-2913.406359516084
25,-2835.51242800802
26,-2891.369711443782
27,-2775.3282716348767
28,-2696.1417165845633
29,-2478.826830215752
30,-2596.8112171962857
31,-2962.9713997766376
32,-2863.38560950011
33,-2952.9646992608905
34,-2862.4443001523614
35,-2984.0824350342155
36,-2901.69745824486
37,-2835.31479216367
38,-2744.388724640012
39,-2635.5941418856382
40,-2755.30501203984
41,-2636.540974520147
42,-2566.7287479415536
43,-2714.8950259387493
44,-804.1500355005264
45,-786.9764690995216
46,-721.3944144397974
47,-732.4031248092651
48,-745.2655056715012
49,-708.5644509196281
50,-760.0291534662247
51,-692.2156656086445
52,-740.1949484050274
53,-746.2781315147877
54,-809.2757194638252
55,-761.2510330080986
56,-714.9168115258217
57,-721.6696448326111
58,-2592.291809156537
59,-2576.356822989881
60,-2892.7037870436907
61,-2993.1118272915483
62,-2992.6072939932346
63,-2992.007700763643
64,-2994.2884333133698
65,-2982.6538483053446
66,-2993.0757248923182
67,-2992.4843676686287
68,-2973.1920848935843
69,-2994.1657883524895
70,-2993.431969434023
71,-2993.440640337765
72,-2983.3469011113048
73,-2993.097114056349
74,-2993.1562137007713
75,-2993.572271607816
76,-2992.3122992515564
77,-2992.742506764829
78,-2991.59844827652
79,-2994.009405143559
80,-2993.0285003855824
81,-2991.5248745307326
82,-2992.983554020524
83,-2993.8327379748225
84,-2993.471486657858
85,-2993.535077087581
